iter	Passed	Remaining
149	1904	10790
150	1920	10795
151	1930	10772
152	1941	10750
153	1950	10714
154	1958	10677
155	1967	10644
156	1975	10609
157	1984	10575
158	1992	10541
159	2001	10508
160	2009	10473
161	2017	10437
162	2025	10402
163	2034	10370
164	2042	10334
165	2050	10302
166	2058	10268
167	2066	10235
168	2084	10251
169	2097	10241
170	2115	10253
171	2143	10318
172	2160	10326
173	2179	10347
174	2197	10360
175	2218	10384
176	2232	10382
177	2253	10406
178	2270	10413
179	2285	10410
180	2300	10411
181	2319	10427
182	2331	10411
183	2339	10375
184	2353	10366
185	2361	10333
186	2369	10301
187	2377	10268
188	2385	10235
189	2393	10201
190	2400	10169
191	2409	10138
192	2417	10107
193	2425	10078
194	2433	10047
195	2442	10020
196	2451	9990
197	2458	9959
198	2467	9930
199	2471	9887
200	2480	9858
201	2491	9843
202	2511	9859
203	2520	9835
204	2529	9807
205	2538	9783
206	2552	9779
207	2570	9789
208	2583	9776
209	2592	9751
210	2600	9724
211	2608	9697
212	2617	9671
213	2629	9658
214	2643	9652
215	2656	9642
216	2670	9637
217	2684	9629
218	2700	9630
219	2746	9737
220	2778	9794
221	2800	9815
222	2827	9852
223	2835	9824
224	2844	9796
225	2851	9767
226	2862	9747
227	2873	9727
228	2880	9699
229	2888	9671
230	2896	9643
231	2911	9638
232	2930	9647
233	2938	9620
234	2947	9595
235	2957	9573
236	2965	9547
237	2973	9519
238	2981	9492
239	2989	9466
240	2997	9439
241	3005	9414
242	3013	9388
243	3021	9362
244	3030	9338
245	3038	9314
246	3046	9288
247	3055	9265
248	3063	9238
249	3071	9214
250	3079	9189
251	3087	9165
252	3095	9141
253	3103	9115
254	3114	9100
255	3135	9113
256	3145	9093
257	3153	9070
258	3162	9048
259	3171	9027
260	3179	9003
261	3188	8980
262	3196	8956
263	3208	8944
264	3221	8934
265	3235	8926
266	3248	8918
267	3262	8911
268	3277	8907
269	3291	8898
270	3304	8888
271	3329	8912
272	3348	8917
273	3364	8915
274	3373	8892
275	3381	8871
276	3390	8850
277	3398	8827
278	3406	8804
279	3414	8780
280	3423	8758
281	3431	8736
282	3439	8715
283	3448	8693
284	3456	8671
285	3466	8653
286	3474	8631
287	3482	8608
288	3490	8586
289	3498	8564
290	3506	8542
291	3513	8520
292	3521	8498
293	3531	8480
294	3544	8471
295	3562	8471
296	3572	8455
297	3580	8434
298	3589	8415
299	3597	8394
300	3606	8374
301	3613	8352
302	3621	8331
303	3630	8311
304	3638	8290
305	3646	8270
306	3654	8250
307	3662	8228
308	3670	8208
309	3678	8187
310	3686	8167
311	3696	8151
312	3704	8130
313	3712	8110
314	3720	8089
315	3729	8071
316	3741	8061
317	3756	8056
318	3766	8039
319	3775	8023
320	3784	8004
321	3792	7986
322	3801	7968
323	3809	7949
324	3817	7929
325	3826	7910
326	3834	7890
327	3842	7871
328	3850	7853
329	3864	7845
330	3878	7838
331	3891	7829
332	3903	7818
333	3916	7809
334	3928	7798
335	3945	7797
336	3964	7800
337	3979	7794
338	3994	7788
339	4009	7783
340	4019	7768
341	4027	7749
342	4035	7730
343	4043	7711
344	4052	7692
345	4060	7674
346	4068	7655
347	4075	7636
348	4083	7617
349	4091	7599
350	4099	7580
351	4108	7562
352	4118	7549
353	4127	7533
354	4138	7518
355	4151	7510
356	4175	7521
357	4200	7533
358	4215	7526
359	4225	7512
360	4233	7494
361	4242	7476
362	4250	7458
363	4259	7442
364	4267	7424
365	4275	7406
366	4283	7388
367	4291	7370
368	4300	7353
369	4307	7334
370	4316	7317
371	4324	7300
372	4332	7283
373	4340	7265
374	4348	7247
375	4363	7241
376	4381	7240
377	4389	7222
378	4398	7207
379	4406	7189
380	4415	7174
381	4423	7156
382	4432	7140
383	4440	7123
384	4448	7105
385	4456	7089
386	4465	7072
387	4473	7055
388	4480	7037
389	4489	7022
390	4498	7005
391	4506	6990
392	4516	6975
393	4527	6963
394	4535	6947
395	4543	6930
396	4552	6914
397	4560	6897
398	4577	6894
399	4596	6895
400	4612	6889
401	4625	6880
402	4638	6871
403	4653	6865
404	4665	6854
405	4679	6845
406	4712	6866
407	4731	6865
408	4747	6860
409	4770	6864
410	4795	6872
411	4810	6865
412	4817	6846
413	4826	6832
414	4835	6816
415	4844	6801
416	4853	6785
417	4861	6768
418	4869	6752
419	4877	6735
420	4885	6719
421	4894	6703
422	4902	6687
423	4910	6670
424	4918	6654
425	4926	6638
426	4934	6622
427	4944	6607
428	4951	6591
429	4960	6575
430	4968	6559
431	4977	6543
432	4985	6527
433	4993	6511
434	5005	6501
435	5017	6490
436	5029	6479
437	5039	6465
438	5047	6449
439	5055	6434
440	5064	6419
441	5072	6403
442	5080	6387
443	5088	6372
444	5097	6357
445	5105	6341
446	5113	6326
447	5121	6310
448	5129	6295
449	5137	6279
450	5145	6264
451	5153	6248
452	5162	6233
453	5170	6218
454	5178	6202
455	5186	6187
456	5195	6172
457	5203	6157
458	5214	6146
459	5227	6136
460	5240	6126
461	5248	6111
462	5257	6098
463	5265	6082
464	5274	6068
465	5283	6054
466	5291	6039
467	5299	6024
468	5307	6008
469	5315	5993
470	5323	5978
471	5331	5963
472	5340	5949
473	5348	5935
474	5357	5921
475	5365	5906
476	5373	5891
477	5381	5876
478	5389	5861
479	5402	5852
480	5414	5842
481	5440	5846
482	5459	5843
483	5471	5833
484	5484	5823
485	5497	5814
486	5516	5811
487	5539	5811
488	5561	5812
489	5574	5801
490	5583	5788
491	5593	5774
492	5602	5761
493	5612	5748
494	5622	5736
495	5636	5727
496	5663	5732
497	5687	5733
498	5705	5728
499	5732	5732
500	5749	5726
501	5771	5725
502	5786	5717
503	5799	5707
504	5806	5691
505	5815	5677
506	5823	5662
507	5832	5648
508	5839	5633
509	5848	5618
510	5856	5604
511	5868	5593
512	5881	5583
513	5897	5576
514	5905	5561
515	5915	5548
516	5928	5538
517	5939	5526
518	5948	5512
519	5956	5498
520	5964	5484
521	5974	5470
522	5989	5462
523	6004	5454
524	6017	5444
525	6030	5434
526	6043	5424
527	6058	5415
528	6077	5410
529	6101	5410
530	6115	5401
531	6129	5392
532	6138	5378
533	6147	5364
534	6154	5349
535	6163	5335
536	6170	5320
537	6179	5306
538	6186	5291
539	6195	5277
540	6203	5262
541	6211	5248
542	6222	5237
543	6235	5226
544	6244	5213
545	6252	5199
546	6261	5185
547	6269	5170
548	6291	5168
549	6306	5160
550	6319	5149
551	6328	5136
552	6337	5122
553	6346	5108
554	6354	5094
555	6362	5081
556	6370	5066
557	6382	5055
558	6396	5046
559	6409	5036
560	6421	5024
561	6433	5014
562	6446	5003
563	6459	4993
564	6472	4983
565	6486	4973
566	6505	4967
567	6527	4964
568	6539	4953
569	6547	4939
570	6556	4926
571	6565	4912
572	6573	4898
573	6581	4884
574	6589	4870
575	6598	4856
576	6606	4842
577	6614	4829
578	6622	4815
579	6630	4801
580	6638	4787
581	6647	4774
582	6655	4760
583	6672	4752
584	6686	4743
585	6695	4730
586	6703	4716
587	6718	4707
588	6736	4700
589	6747	4688
590	6757	4676
591	6765	4662
592	6773	4649
593	6782	4635
594	6790	4622
595	6799	4608
596	6807	4595
597	6815	4581
598	6823	4567
599	6832	4554
600	6840	4541
601	6848	4527
602	6856	4514
603	6867	4502
604	6880	4492
605	6894	4482
606	6907	4472
607	6921	4462
608	6949	4461
609	6985	4466
610	7018	4468
611	7037	4461
612	7068	4462
613	7086	4455
614	7095	4442
615	7103	4428
616	7112	4415
617	7121	4401
618	7133	4390
619	7144	4378
620	7156	4367
621	7169	4357
622	7177	4343
623	7188	4331
624	7197	4318
625	7205	4304
626	7214	4291
627	7222	4278
628	7230	4264
629	7239	4251
630	7247	4238
631	7256	4225
632	7264	4211
633	7273	4198
634	7281	4185
635	7289	4171
636	7306	4163
637	7323	4155
638	7338	4145
639	7353	4136
640	7375	4130
641	7393	4122
642	7414	4116
643	7431	4107
644	7447	4099
645	7462	4089
646	7480	4081
647	7498	4073
648	7517	4065
649	7544	4062
650	7571	4058
651	7581	4046
652	7590	4033
653	7598	4020
654	7606	4006
655	7621	3996
656	7635	3986
657	7649	3975
658	7663	3965
659	7687	3960
660	7700	3949
661	7713	3938
662	7728	3928
663	7741	3917
664	7758	3908
665	7780	3901
666	7788	3888
667	7798	3875
668	7806	3862
669	7815	3849
670	7823	3836
671	7832	3822
672	7840	3809
673	7849	3796
674	7857	3783
675	7865	3769
676	7874	3756
677	7882	3743
678	7891	3730
679	7899	3717
680	7907	3704
681	7916	3691
682	7924	3677
683	7932	3664
684	7945	3653
685	7966	3646
686	7988	3639
687	8004	3630
688	8022	3621
689	8036	3610
690	8050	3599
691	8063	3589
692	8077	3578
693	8089	3566
694	8098	3554
695	8108	3541
696	8116	3528
697	8124	3515
698	8132	3502
699	8140	3488
700	8149	3476
701	8157	3463
702	8167	3450
703	8178	3438
704	8191	3427
705	8204	3416
706	8213	3403
707	8223	3391
708	8232	3378
709	8240	3365
710	8248	3352
711	8257	3339
712	8265	3327
713	8273	3314
714	8282	3301
715	8290	3288
716	8298	3275
717	8307	3262
718	8315	3249
719	8324	3237
720	8332	3224
721	8345	3213
722	8359	3202
723	8388	3197
724	8409	3189
725	8429	3181
726	8454	3174
727	8471	3165
728	8489	3155
729	8501	3144
730	8511	3132
731	8522	3120
732	8533	3108
733	8544	3096
734	8555	3084
735	8566	3072
736	8578	3061
737	8590	3049
738	8607	3040
739	8628	3031
740	8644	3021
741	8659	3011
742	8673	3000
743	8683	2987
744	8693	2975
745	8703	2963
746	8713	2951
747	8722	2938
748	8732	2926
749	8742	2914
750	8750	2901
751	8758	2888
752	8767	2875
753	8775	2863
754	8784	2850
755	8795	2838
756	8807	2827
757	8820	2816
758	8837	2806
759	8851	2795
760	8867	2784
761	8880	2773
762	8892	2762
763	8906	2751
764	8919	2740
765	8933	2728
766	8949	2718
767	8965	2708
768	8977	2696
769	8990	2685
770	9002	2673
771	9015	2662
772	9028	2651
773	9039	2639
774	9050	2627
775	9058	2614
776	9066	2602
777	9075	2589
778	9084	2577
779	9095	2565
780	9106	2553
781	9117	2541
782	9129	2530
783	9142	2518
784	9153	2506
785	9165	2495
786	9175	2483
787	9186	2471
788	9197	2459
789	9213	2449
790	9234	2439
791	9250	2429
792	9263	2418
793	9276	2406
794	9287	2394
795	9301	2383
796	9312	2371
797	9323	2360
798	9334	2348
799	9346	2336
800	9357	2324
801	9367	2312
802	9379	2301
803	9390	2289
804	9401	2277
805	9417	2266
806	9442	2258
807	9461	2248
808	9474	2236
809	9487	2225
810	9500	2214
811	9513	2202
812	9527	2191
813	9540	2179
814	9553	2168
815	9567	2157
816	9579	2145
817	9587	2133
818	9595	2120
819	9605	2108
820	9613	2095
821	9627	2084
822	9645	2074
823	9696	2071
824	9730	2064
825	9764	2056
826	9786	2047
827	9803	2036
828	9814	2024
829	9823	2012
830	9836	2000
831	9847	1988
832	9858	1976
833	9872	1965
834	9886	1953
835	9895	1941
836	9904	1928
837	9913	1916
838	9921	1903
839	9929	1891
840	9938	1878
841	9946	1866
842	9955	1854
843	9963	1841
844	9971	1829
845	9979	1816
846	9989	1804
847	9997	1791
848	10005	1779
849	10013	1767
850	10021	1754
851	10029	1742
852	10040	1730
853	10053	1718
854	10065	1706
855	10086	1696
856	10102	1685
857	10116	1674
858	10129	1662
859	10142	1651
860	10155	1639
861	10168	1627
862	10181	1616
863	10194	1604
864	10208	1593
865	10221	1581
866	10231	1569
867	10240	1557
868	10253	1545
869	10265	1533
870	10281	1522
871	10290	1510
872	10300	1498
873	10309	1486
874	10321	1474
875	10334	1462
876	10347	1451
877	10362	1439
878	10377	1428
879	10390	1416
880	10403	1405
881	10418	1393
882	10432	1382
883	10445	1370
884	10474	1361
885	10489	1349
886	10499	1337
887	10507	1325
888	10516	1313
889	10524	1300
890	10532	1288
891	10540	1276
892	10549	1264
893	10557	1251
894	10566	1239
895	10574	1227
896	10583	1215
897	10591	1203
898	10600	1190
899	10609	1178
900	10620	1166
901	10631	1155
902	10646	1143
903	10665	1132
904	10680	1121
905	10698	1109
906	10717	1098
907	10732	1087
908	10748	1076
909	10763	1064
910	10780	1053
911	10793	1041
912	10812	1030
913	10821	1018
914	10830	1006
915	10838	993
916	10847	981
917	10855	969
918	10864	957
919	10877	945
920	10888	933
921	10902	922
922	10913	910
923	10924	898
924	10931	886
925	10941	874
926	10949	862
927	10958	850
928	10967	838
929	10976	826
930	10984	814
931	10992	802
932	11000	789
933	11009	777
934	11017	765
935	11025	753
936	11034	741
937	11041	729
938	11059	718
939	11098	708
940	11132	698
941	11156	686
942	11174	675
943	11189	663
944	11207	652
945	11229	641
946	11246	629
947	11254	617
948	11263	605
949	11271	593
950	11280	581
951	11288	569
952	11297	557
953	11309	545
954	11321	533
955	11335	521
956	11350	510
957	11359	497
958	11369	486
959	11380	474
960	11389	462
961	11397	450
962	11406	438
963	11414	426
964	11423	414
965	11431	402
966	11440	390
967	11449	378
968	11457	366
969	11465	354
970	11473	342
971	11483	330
972	11492	318
973	11502	307
974	11515	295
975	11529	283
976	11543	271
977	11560	260
978	11574	248
979	11589	236
980	11618	225
981	11633	213
982	11646	201
983	11659	189
984	11672	177
985	11686	165
986	11699	154
987	11712	142
988	11723	130
989	11734	118
990	11745	106
991	11758	94
992	11779	83
993	11813	71
994	11844	59
995	11863	47
996	11885	35
997	11897	23
998	11905	11
999	11914	0
