iter	Logloss
0	0.5944339844
1	0.5170272244
2	0.4495947591
3	0.4067181858
4	0.3652322917
5	0.3302332628
6	0.3049101345
7	0.2823399848
8	0.2668291016
9	0.252149018
10	0.2421963487
11	0.2329568739
12	0.2257620009
13	0.2186477648
14	0.2126115831
15	0.2079192546
16	0.2038744575
17	0.2009977702
18	0.1987931152
19	0.196328304
20	0.1948737847
21	0.1930854601
22	0.1915203125
23	0.1902671604
24	0.1893267253
25	0.1884206163
26	0.1876563205
27	0.1870553928
28	0.1865389214
29	0.1859637478
30	0.1855199354
31	0.1850791694
32	0.1847426676
33	0.1844377631
34	0.1841288303
35	0.1838874078
36	0.1836720812
37	0.1834396647
38	0.1832769341
39	0.1831007134
40	0.1829116374
41	0.1827170492
42	0.1825241781
43	0.1824093316
44	0.182298291
45	0.1821419325
46	0.1820161214
47	0.1819041124
48	0.1818593669
49	0.1817635824
50	0.1816859538
51	0.1816066732
52	0.18156419
53	0.1814705783
54	0.1813895128
55	0.1813006131
56	0.1812427138
57	0.1812187283
58	0.1811380371
59	0.1810610786
60	0.1810059245
61	0.1809549154
62	0.1808875597
63	0.1808299072
64	0.1807811849
65	0.180719949
66	0.1806771946
67	0.1806544569
68	0.1806193359
69	0.1805666667
70	0.1805296414
71	0.1804973389
72	0.1804604329
73	0.1804147135
74	0.1803828749
75	0.1803637668
76	0.180353304
77	0.1803097168
78	0.1802685791
79	0.1802266113
80	0.1801965251
81	0.1801610623
82	0.1801320719
83	0.1801019043
84	0.1800564073
85	0.1800086697
86	0.1799746989
87	0.1799494656
88	0.1799234375
89	0.179896072
90	0.1798572971
91	0.1798423448
92	0.1798213433
93	0.1798022217
94	0.1797599121
95	0.1797233995
96	0.1796817627
97	0.1796517415
98	0.1796282471
99	0.1795978054
100	0.1795568875
101	0.1795241618
102	0.179505702
103	0.1794843696
104	0.1794635634
105	0.1794397841
106	0.1794276747
107	0.1794000461
108	0.1793662001
109	0.1793556207
110	0.1793395481
111	0.1793174289
112	0.1792946804
113	0.1792770752
114	0.1792414931
115	0.1792196642
116	0.1791921441
117	0.1791765137
118	0.179154541
119	0.1791284939
120	0.1790852268
121	0.1790616591
122	0.1790394179
123	0.1790175184
124	0.1790047987
125	0.1790021973
126	0.1789818549
127	0.1789677979
128	0.1789450982
129	0.1789331543
130	0.1789015896
131	0.1788807888
132	0.1788467367
133	0.1788306017
134	0.1788161377
135	0.1787884711
136	0.1787772732
137	0.1787620931
138	0.1787544813
139	0.1787294895
140	0.1787047201
141	0.1786850315
142	0.178674547
143	0.1786553982
144	0.1786215603
145	0.1785880995
146	0.1785821886
147	0.1785764025
148	0.178550491
149	0.1785423855
150	0.178534432
151	0.1785017198
152	0.1784788439
153	0.1784485162
154	0.1784125543
155	0.178388425
156	0.1783625787
157	0.1783397597
158	0.1783190511
159	0.1783006266
160	0.1782865885
161	0.1782627496
162	0.1782416395
163	0.1782209391
164	0.1782004937
165	0.1781909804
166	0.1781874457
167	0.1781762858
168	0.178165191
169	0.1781484701
170	0.1781181315
171	0.1781051866
172	0.1780937554
173	0.1780830241
174	0.1780667182
175	0.1780398546
176	0.1780221788
177	0.178000217
178	0.1779701335
179	0.1779548394
180	0.1779512533
181	0.1779415582
182	0.1779170573
183	0.1779170898
184	0.1778959554
185	0.1778959174
186	0.1778894233
187	0.1778804796
188	0.1778635281
189	0.1778555501
190	0.1778399685
191	0.1778225532
192	0.1778114665
193	0.1777936578
194	0.1777866211
195	0.1777782416
196	0.1777679688
197	0.1777584852
198	0.1777498047
199	0.1777498834
200	0.1777425103
201	0.1777376031
202	0.1777207248
203	0.1777007433
204	0.1776906576
205	0.177660414
206	0.1776565511
207	0.1776494439
208	0.1776343099
209	0.1776251302
210	0.1776177517
211	0.1776082981
212	0.1776025174
213	0.177596224
214	0.1775902208
215	0.1775786377
216	0.1775705729
217	0.1775644477
218	0.1775534153
219	0.1775448839
220	0.1775361328
221	0.1775232856
222	0.1775159559
223	0.1775092448
224	0.1774958822
225	0.1774882378
226	0.1774698188
227	0.1774565755
228	0.1774473172
229	0.1774386664
230	0.1774289605
231	0.177423744
232	0.1774128499
233	0.1774061144
234	0.177385083
235	0.1773739936
236	0.1773667969
237	0.1773624213
238	0.1773569173
239	0.1773546739
240	0.1773431776
241	0.1773199788
242	0.1773081679
243	0.177297819
244	0.1772828668
245	0.1772632134
246	0.1772602132
247	0.1772326416
248	0.1772262831
249	0.17719764
250	0.177178795
251	0.1771730903
252	0.177163406
253	0.1771538981
254	0.1771484348
255	0.1771251302
256	0.1771175401
257	0.177097781
258	0.1770815728
259	0.1770690755
260	0.1770540392
261	0.1770432075
262	0.1770274577
263	0.1770225966
264	0.177006174
265	0.1769902208
266	0.176983629
267	0.1769709256
268	0.17696486
269	0.1769588352
270	0.1769359456
271	0.1769119249
272	0.1769028537
273	0.1768937636
274	0.1768795709
275	0.1768746392
276	0.1768636122
277	0.1768581462
278	0.1768500678
279	0.1768383599
280	0.1768256456
281	0.1768114638
282	0.1767910834
283	0.1767846191
284	0.1767718018
285	0.1767589138
286	0.1767364665
287	0.176732411
288	0.176727162
289	0.1767224664
290	0.1767050917
291	0.1766990289
292	0.176696072
293	0.1766909451
294	0.1766840739
295	0.1766657064
296	0.1766462104
297	0.1766413737
298	0.1766332709
299	0.1766154921
300	0.1766116618
301	0.1766075873
302	0.1766039686
303	0.1765931831
304	0.1765876383
305	0.176569439
306	0.1765606472
307	0.176557959
308	0.1765469184
309	0.1765369656
310	0.1765278402
311	0.1765201687
312	0.176512245
313	0.1765049561
314	0.176484158
315	0.1764647
316	0.17645016
317	0.1764368598
318	0.1764238553
319	0.176410281
320	0.1764043403
321	0.1763996745
322	0.1763847846
323	0.1763701687
324	0.1763668511
325	0.1763589003
326	0.1763555284
327	0.1763462457
328	0.1763353624
329	0.1763233968
330	0.176316352
331	0.1763007406
332	0.1762876628
333	0.1762839328
334	0.1762794
335	0.1762652045
336	0.1762568034
337	0.1762476752
338	0.1762294922
339	0.1762173855
340	0.1762122776
341	0.1762050456
342	0.1762024278
343	0.1761951308
344	0.176193004
345	0.1761797797
346	0.1761726074
347	0.1761690348
348	0.1761446208
349	0.1761333577
350	0.1761257623
351	0.1761202827
352	0.1761086236
353	0.1761056044
354	0.1760905735
355	0.1760815511
356	0.1760767578
357	0.1760636095
358	0.1760527886
359	0.1760511827
360	0.1760425998
361	0.1760373617
362	0.1760248562
363	0.1760078423
364	0.1760015218
365	0.1759938694
366	0.1759867974
367	0.1759766357
368	0.1759697184
369	0.1759662706
370	0.1759385037
371	0.1759227051
372	0.1759151204
373	0.1759011258
374	0.1758957926
375	0.1758820258
376	0.1758788656
377	0.1758768528
378	0.1758733398
379	0.1758698107
380	0.1758625543
381	0.1758491618
382	0.175839586
383	0.1758359239
384	0.1758299859
385	0.1758261041
386	0.1758204888
387	0.1758134847
388	0.1758077203
389	0.1758024875
390	0.1757954102
391	0.175789738
392	0.1757858832
393	0.1757824626
394	0.1757795763
395	0.1757760281
396	0.1757715549
397	0.1757608751
398	0.1757540663
399	0.1757473796
400	0.1757370931
401	0.1757261122
402	0.1757224365
403	0.1757194363
404	0.1757095757
405	0.1756907661
406	0.1756878092
407	0.1756840522
408	0.1756743517
409	0.1756703939
410	0.175662774
411	0.1756527452
412	0.1756434408
413	0.1756390625
414	0.1756350071
415	0.1756255263
416	0.1756208523
417	0.1756142714
418	0.1756099202
419	0.1756049235
420	0.1755943576
421	0.1755855821
422	0.1755746826
423	0.1755697428
424	0.1755644016
425	0.175551728
426	0.1755342014
427	0.1755167616
428	0.1755137777
429	0.1755034505
430	0.1754987657
431	0.1754907471
432	0.1754847928
433	0.1754816867
434	0.1754735297
435	0.1754708442
436	0.1754614665
437	0.1754510091
438	0.175439266
439	0.175434413
440	0.1754150445
441	0.1754052273
442	0.1754000597
443	0.1753983887
444	0.1753921739
445	0.1753842367
446	0.1753736301
447	0.1753636068
448	0.1753609701
449	0.1753576416
450	0.1753507406
451	0.1753485758
452	0.1753344347
453	0.1753288927
454	0.175318457
455	0.1753074571
456	0.1753022027
457	0.1752985867
458	0.175291352
459	0.1752832574
460	0.1752709256
461	0.1752676378
462	0.1752623942
463	0.1752602648
464	0.1752513943
465	0.1752457655
466	0.1752409044
467	0.1752402696
468	0.1752361437
469	0.1752335748
470	0.1752238417
471	0.1752193115
472	0.1752048475
473	0.1751995226
474	0.1751910238
475	0.1751886068
476	0.1751780816
477	0.1751717882
478	0.1751679416
479	0.1751551785
480	0.1751424072
481	0.1751377686
482	0.1751294732
483	0.1751272163
484	0.175122998
485	0.1751223362
486	0.1751174018
487	0.1751065809
488	0.1750826742
489	0.1750685113
490	0.1750663249
491	0.1750572754
492	0.1750542996
493	0.1750505724
494	0.1750439453
495	0.1750282688
496	0.1750185276
497	0.1750103516
498	0.1749972683
499	0.1749831543
500	0.1749637641
501	0.1749521539
502	0.1749461073
503	0.1749393392
504	0.1749392388
505	0.1749288357
506	0.1749226752
507	0.1748930773
508	0.1748871012
509	0.1748801785
510	0.1748739909
511	0.1748518121
512	0.1748487576
513	0.174840587
514	0.1748384847
515	0.1748360487
